Date,Name,Count,Length
01 May 2015,primary_link,0,0.0
01 May 2015,living_street,1,0.03
01 May 2015,service,54,10.02
01 May 2015,track,16,5.62
01 May 2015,residential,109,46.65
01 May 2015,primary,0,0.0
01 May 2015,motorway,0,0.0
01 May 2015,road,0,0.0
01 May 2015,secondary_link,0,0.0
01 May 2015,path,60,104.05
01 May 2015,raceway,0,0.0
01 May 2015,unclassified,24,24.4
01 May 2015,tertiary,4,1.15
01 May 2015,secondary,9,11.81
01 June 2015,primary_link,0,0.0
01 June 2015,living_street,1,0.03
01 June 2015,service,54,10.02
01 June 2015,track,16,5.62
01 June 2015,residential,109,46.65
01 June 2015,primary,0,0.0
01 June 2015,motorway,0,0.0
01 June 2015,road,0,0.0
01 June 2015,secondary_link,0,0.0
01 June 2015,path,60,104.05
01 June 2015,raceway,0,0.0
01 June 2015,unclassified,24,24.4
01 June 2015,tertiary,4,1.15
01 June 2015,secondary,9,11.81
01 July 2015,primary_link,0,0.0
01 July 2015,living_street,1,0.03
01 July 2015,service,54,10.02
01 July 2015,track,16,5.62
01 July 2015,residential,109,46.65
01 July 2015,primary,0,0.0
01 July 2015,motorway,0,0.0
01 July 2015,road,0,0.0
01 July 2015,secondary_link,0,0.0
01 July 2015,path,60,103.97
01 July 2015,raceway,0,0.0
01 July 2015,unclassified,24,24.14
01 July 2015,tertiary,5,2.57
01 July 2015,secondary,9,10.37
01 August 2015,primary_link,0,0.0
01 August 2015,living_street,1,0.03
01 August 2015,service,57,10.16
01 August 2015,track,16,5.62
01 August 2015,residential,109,46.64
01 August 2015,primary,0,0.0
01 August 2015,motorway,0,0.0
01 August 2015,road,0,0.0
01 August 2015,secondary_link,0,0.0
01 August 2015,path,60,103.97
01 August 2015,raceway,0,0.0
01 August 2015,unclassified,24,24.14
01 August 2015,tertiary,5,2.57
01 August 2015,secondary,9,10.37
01 September 2015,primary_link,0,0.0
01 September 2015,living_street,1,0.03
01 September 2015,service,57,10.16
01 September 2015,track,16,5.62
01 September 2015,residential,109,46.64
01 September 2015,primary,0,0.0
01 September 2015,motorway,0,0.0
01 September 2015,road,0,0.0
01 September 2015,secondary_link,0,0.0
01 September 2015,path,60,103.97
01 September 2015,raceway,0,0.0
01 September 2015,unclassified,24,24.14
01 September 2015,tertiary,5,2.57
01 September 2015,secondary,9,10.37
01 October 2015,primary_link,0,0.0
01 October 2015,living_street,1,0.03
01 October 2015,service,57,10.16
01 October 2015,track,16,5.62
01 October 2015,residential,109,46.64
01 October 2015,primary,0,0.0
01 October 2015,motorway,0,0.0
01 October 2015,road,0,0.0
01 October 2015,secondary_link,0,0.0
01 October 2015,path,60,103.97
01 October 2015,raceway,0,0.0
01 October 2015,unclassified,24,24.14
01 October 2015,tertiary,5,2.57
01 October 2015,secondary,9,10.37
01 November 2015,primary_link,0,0.0
01 November 2015,living_street,1,0.03
01 November 2015,service,59,10.44
01 November 2015,track,15,5.38
01 November 2015,residential,130,50.67
01 November 2015,primary,0,0.0
01 November 2015,motorway,0,0.0
01 November 2015,road,0,0.0
01 November 2015,secondary_link,0,0.0
01 November 2015,path,60,103.98
01 November 2015,raceway,0,0.0
01 November 2015,unclassified,25,25.87
01 November 2015,tertiary,5,2.58
01 November 2015,secondary,9,10.37
01 December 2015,primary_link,0,0.0
01 December 2015,living_street,1,0.03
01 December 2015,service,59,10.44
01 December 2015,track,15,5.38
01 December 2015,residential,130,50.67
01 December 2015,primary,0,0.0
01 December 2015,motorway,0,0.0
01 December 2015,road,0,0.0
01 December 2015,secondary_link,0,0.0
01 December 2015,path,60,103.98
01 December 2015,raceway,0,0.0
01 December 2015,unclassified,25,25.87
01 December 2015,tertiary,5,2.58
01 December 2015,secondary,9,10.37
01 January 2016,primary_link,0,0.0
01 January 2016,living_street,1,0.03
01 January 2016,service,59,10.44
01 January 2016,track,15,5.38
01 January 2016,residential,130,50.67
01 January 2016,primary,0,0.0
01 January 2016,motorway,0,0.0
01 January 2016,road,0,0.0
01 January 2016,secondary_link,0,0.0
01 January 2016,path,60,103.98
01 January 2016,raceway,0,0.0
01 January 2016,unclassified,25,25.87
01 January 2016,tertiary,5,2.58
01 January 2016,secondary,9,10.37
01 February 2016,primary_link,0,0.0
01 February 2016,living_street,1,0.03
01 February 2016,service,59,10.44
01 February 2016,track,15,5.38
01 February 2016,residential,130,50.67
01 February 2016,primary,0,0.0
01 February 2016,motorway,0,0.0
01 February 2016,road,0,0.0
01 February 2016,secondary_link,0,0.0
01 February 2016,path,60,104.01
01 February 2016,raceway,0,0.0
01 February 2016,unclassified,25,25.87
01 February 2016,tertiary,5,2.58
01 February 2016,secondary,9,10.37
01 March 2016,primary_link,0,0.0
01 March 2016,living_street,1,0.03
01 March 2016,service,59,10.44
01 March 2016,track,15,5.38
01 March 2016,residential,134,51.71
01 March 2016,primary,0,0.0
01 March 2016,motorway,0,0.0
01 March 2016,road,0,0.0
01 March 2016,secondary_link,0,0.0
01 March 2016,path,60,104.12
01 March 2016,raceway,0,0.0
01 March 2016,unclassified,25,25.87
01 March 2016,tertiary,5,2.58
01 March 2016,secondary,9,10.37
01 April 2016,primary_link,0,0.0
01 April 2016,living_street,1,0.03
01 April 2016,service,73,11.79
01 April 2016,track,15,5.38
01 April 2016,residential,142,53.67
01 April 2016,primary,0,0.0
01 April 2016,motorway,0,0.0
01 April 2016,road,0,0.0
01 April 2016,secondary_link,0,0.0
01 April 2016,path,62,104.12
01 April 2016,raceway,0,0.0
01 April 2016,unclassified,27,25.56
01 April 2016,tertiary,5,2.58
01 April 2016,secondary,9,10.37
