Date,Country,Name,Count,Length
28 March 2016,gl,primary_link,1,20.71
28 March 2016,gl,living_street,18,2.71
28 March 2016,gl,service,426,79.84
28 March 2016,gl,one_way,0,0.0
28 March 2016,gl,track,383,255.02
28 March 2016,gl,residential,708,350.91
28 March 2016,gl,primary,19,78.41
28 March 2016,gl,turn_restrict,0,0.0
28 March 2016,gl,roads_with_names,548,993.7
28 March 2016,gl,motorway,9,62.32
28 March 2016,gl,roads_with_second_lang,0,0.0
28 March 2016,gl,road,24,48.86
28 March 2016,gl,secondary_link,15,0.54
28 March 2016,gl,path,480,789.41
28 March 2016,gl,roads_with_designation,0,0.0
28 March 2016,gl,raceway,0,0.0
28 March 2016,gl,unclassified,305,295.66
28 March 2016,gl,tertiary,75,115.58
28 March 2016,gl,secondary,154,80.43
11 April 2016,gl,primary_link,1,20.71
11 April 2016,gl,living_street,18,2.71
11 April 2016,gl,service,435,80.88
11 April 2016,gl,one_way,0,0.0
11 April 2016,gl,track,383,255.02
11 April 2016,gl,residential,709,353.2
11 April 2016,gl,primary,19,78.41
11 April 2016,gl,turn_restrict,0,0.0
11 April 2016,gl,roads_with_names,548,993.7
11 April 2016,gl,motorway,9,62.32
11 April 2016,gl,roads_with_second_lang,0,0.0
11 April 2016,gl,road,24,48.86
11 April 2016,gl,secondary_link,15,0.54
11 April 2016,gl,path,482,789.41
11 April 2016,gl,roads_with_designation,0,0.0
11 April 2016,gl,raceway,0,0.0
11 April 2016,gl,unclassified,307,295.34
11 April 2016,gl,tertiary,75,115.58
11 April 2016,gl,secondary,154,80.43
04 April 2016,gl,primary_link,1,20.71
04 April 2016,gl,living_street,18,2.71
04 April 2016,gl,service,435,80.88
04 April 2016,gl,one_way,0,0.0
04 April 2016,gl,track,383,255.02
04 April 2016,gl,residential,709,352.98
04 April 2016,gl,primary,19,78.41
04 April 2016,gl,turn_restrict,0,0.0
04 April 2016,gl,roads_with_names,548,993.7
04 April 2016,gl,motorway,9,62.32
04 April 2016,gl,roads_with_second_lang,0,0.0
04 April 2016,gl,road,24,48.86
04 April 2016,gl,secondary_link,15,0.54
04 April 2016,gl,path,482,789.41
04 April 2016,gl,roads_with_designation,0,0.0
04 April 2016,gl,raceway,0,0.0
04 April 2016,gl,unclassified,307,295.34
04 April 2016,gl,tertiary,75,115.58
04 April 2016,gl,secondary,154,80.43
09 May 2016,gl,primary_link,1,20.71
09 May 2016,gl,living_street,18,2.71
09 May 2016,gl,service,438,81.21
09 May 2016,gl,one_way,0,0.0
09 May 2016,gl,track,385,257.21
09 May 2016,gl,residential,710,353.46
09 May 2016,gl,primary,19,78.41
09 May 2016,gl,turn_restrict,0,0.0
09 May 2016,gl,roads_with_names,550,993.7
09 May 2016,gl,motorway,9,62.32
09 May 2016,gl,roads_with_second_lang,0,0.0
09 May 2016,gl,road,23,48.61
09 May 2016,gl,secondary_link,15,0.54
09 May 2016,gl,path,485,821.94
09 May 2016,gl,roads_with_designation,0,0.0
09 May 2016,gl,raceway,0,0.0
09 May 2016,gl,unclassified,308,295.72
09 May 2016,gl,tertiary,79,117.38
09 May 2016,gl,secondary,156,80.43
18 April 2016,gl,primary_link,1,20.71
18 April 2016,gl,living_street,18,2.71
18 April 2016,gl,service,438,81.21
18 April 2016,gl,one_way,0,0.0
18 April 2016,gl,track,385,257.21
18 April 2016,gl,residential,709,353.2
18 April 2016,gl,primary,19,78.41
18 April 2016,gl,turn_restrict,0,0.0
18 April 2016,gl,roads_with_names,548,993.7
18 April 2016,gl,motorway,9,62.32
18 April 2016,gl,roads_with_second_lang,0,0.0
18 April 2016,gl,road,23,48.61
18 April 2016,gl,secondary_link,15,0.54
18 April 2016,gl,path,485,821.94
18 April 2016,gl,roads_with_designation,0,0.0
18 April 2016,gl,raceway,0,0.0
18 April 2016,gl,unclassified,308,295.6
18 April 2016,gl,tertiary,75,115.58
18 April 2016,gl,secondary,154,80.43
16 May 2016,gl,primary_link,1,20.71
16 May 2016,gl,living_street,18,2.71
16 May 2016,gl,service,438,81.21
16 May 2016,gl,one_way,0,0.0
16 May 2016,gl,track,385,257.21
16 May 2016,gl,residential,710,353.46
16 May 2016,gl,primary,19,78.41
16 May 2016,gl,turn_restrict,0,0.0
16 May 2016,gl,roads_with_names,550,993.7
16 May 2016,gl,motorway,9,62.32
16 May 2016,gl,roads_with_second_lang,0,0.0
16 May 2016,gl,road,23,48.61
16 May 2016,gl,secondary_link,15,0.54
16 May 2016,gl,path,485,821.94
16 May 2016,gl,roads_with_designation,0,0.0
16 May 2016,gl,raceway,0,0.0
16 May 2016,gl,unclassified,308,295.72
16 May 2016,gl,tertiary,79,117.38
16 May 2016,gl,secondary,156,80.43
25 April 2016,gl,primary_link,1,20.71
25 April 2016,gl,living_street,18,2.71
25 April 2016,gl,service,438,81.21
25 April 2016,gl,one_way,0,0.0
25 April 2016,gl,track,385,257.21
25 April 2016,gl,residential,709,353.2
25 April 2016,gl,primary,19,78.41
25 April 2016,gl,turn_restrict,0,0.0
25 April 2016,gl,roads_with_names,548,993.7
25 April 2016,gl,motorway,9,62.32
25 April 2016,gl,roads_with_second_lang,0,0.0
25 April 2016,gl,road,23,48.61
25 April 2016,gl,secondary_link,15,0.54
25 April 2016,gl,path,485,821.94
25 April 2016,gl,roads_with_designation,0,0.0
25 April 2016,gl,raceway,0,0.0
25 April 2016,gl,unclassified,308,295.72
25 April 2016,gl,tertiary,79,117.38
25 April 2016,gl,secondary,154,80.43
02 May 2016,gl,primary_link,1,20.71
02 May 2016,gl,living_street,18,2.71
02 May 2016,gl,service,438,81.21
02 May 2016,gl,one_way,0,0.0
02 May 2016,gl,track,385,257.21
02 May 2016,gl,residential,709,353.2
02 May 2016,gl,primary,19,78.41
02 May 2016,gl,turn_restrict,0,0.0
02 May 2016,gl,roads_with_names,548,993.7
02 May 2016,gl,motorway,9,62.32
02 May 2016,gl,roads_with_second_lang,0,0.0
02 May 2016,gl,road,23,48.61
02 May 2016,gl,secondary_link,15,0.54
02 May 2016,gl,path,485,821.94
02 May 2016,gl,roads_with_designation,0,0.0
02 May 2016,gl,raceway,0,0.0
02 May 2016,gl,unclassified,308,295.72
02 May 2016,gl,tertiary,79,117.38
02 May 2016,gl,secondary,154,80.43
01 February 2016,gl,primary_link,1,20.71
01 February 2016,gl,living_street,18,2.71
01 February 2016,gl,service,419,79.73
01 February 2016,gl,one_way,0,0.0
01 February 2016,gl,track,383,255.02
01 February 2016,gl,residential,695,348.33
01 February 2016,gl,primary,19,78.41
01 February 2016,gl,turn_restrict,0,0.0
01 February 2016,gl,roads_with_names,544,993.41
01 February 2016,gl,motorway,9,62.32
01 February 2016,gl,roads_with_second_lang,0,0.0
01 February 2016,gl,road,24,48.86
01 February 2016,gl,secondary_link,15,0.54
01 February 2016,gl,path,480,789.31
01 February 2016,gl,roads_with_designation,0,0.0
01 February 2016,gl,raceway,0,0.0
01 February 2016,gl,unclassified,304,292.83
01 February 2016,gl,tertiary,75,115.58
01 February 2016,gl,secondary,154,80.43
08 February 2016,gl,primary_link,1,20.71
08 February 2016,gl,living_street,18,2.71
08 February 2016,gl,service,419,79.73
08 February 2016,gl,one_way,0,0.0
08 February 2016,gl,track,383,255.02
08 February 2016,gl,residential,695,348.33
08 February 2016,gl,primary,19,78.41
08 February 2016,gl,turn_restrict,0,0.0
08 February 2016,gl,roads_with_names,544,993.41
08 February 2016,gl,motorway,9,62.32
08 February 2016,gl,roads_with_second_lang,0,0.0
08 February 2016,gl,road,24,48.86
08 February 2016,gl,secondary_link,15,0.54
08 February 2016,gl,path,480,789.31
08 February 2016,gl,roads_with_designation,0,0.0
08 February 2016,gl,raceway,0,0.0
08 February 2016,gl,unclassified,304,292.83
08 February 2016,gl,tertiary,75,115.58
08 February 2016,gl,secondary,154,80.43
07 March 2016,gl,primary_link,1,20.71
07 March 2016,gl,living_street,18,2.71
07 March 2016,gl,service,420,79.45
07 March 2016,gl,one_way,0,0.0
07 March 2016,gl,track,383,255.02
07 March 2016,gl,residential,700,349.7
07 March 2016,gl,primary,19,78.41
07 March 2016,gl,turn_restrict,0,0.0
07 March 2016,gl,roads_with_names,545,993.41
07 March 2016,gl,motorway,9,62.32
07 March 2016,gl,roads_with_second_lang,0,0.0
07 March 2016,gl,road,24,48.86
07 March 2016,gl,secondary_link,15,0.54
07 March 2016,gl,path,480,789.41
07 March 2016,gl,roads_with_designation,0,0.0
07 March 2016,gl,raceway,0,0.0
07 March 2016,gl,unclassified,305,295.65
07 March 2016,gl,tertiary,75,115.58
07 March 2016,gl,secondary,154,80.43
29 February 2016,gl,primary_link,1,20.71
