Date,Country,Name,Count,Length
18 April 2016,ht,primary_link,21,0.7
18 April 2016,ht,living_street,253,43.67
18 April 2016,ht,service,7855,625.12
18 April 2016,ht,one_way,0,0.0
18 April 2016,ht,track,20004,5561.39
18 April 2016,ht,residential,18877,2845.9
18 April 2016,ht,primary,976,1128.66
18 April 2016,ht,turn_restrict,0,0.0
18 April 2016,ht,roads_with_names,13008,3728.6
18 April 2016,ht,motorway,7,2.5
18 April 2016,ht,roads_with_second_lang,0,0.0
18 April 2016,ht,road,1377,365.08
18 April 2016,ht,secondary_link,74,0.89
18 April 2016,ht,path,14851,2372.66
18 April 2016,ht,roads_with_designation,0,0.0
18 April 2016,ht,raceway,4,2.43
18 April 2016,ht,unclassified,9205,6090.16
18 April 2016,ht,tertiary,1623,1072.08
18 April 2016,ht,secondary,1313,1318.75
04 April 2016,ht,primary_link,23,0.73
04 April 2016,ht,living_street,253,43.67
04 April 2016,ht,service,7854,624.85
04 April 2016,ht,one_way,0,0.0
04 April 2016,ht,track,19993,5560.9
04 April 2016,ht,residential,18847,2844.58
04 April 2016,ht,primary,978,1130.42
04 April 2016,ht,turn_restrict,0,0.0
04 April 2016,ht,roads_with_names,13001,3727.81
04 April 2016,ht,motorway,7,2.5
04 April 2016,ht,roads_with_second_lang,0,0.0
04 April 2016,ht,road,1378,365.19
04 April 2016,ht,secondary_link,74,0.89
04 April 2016,ht,path,14851,2373.21
04 April 2016,ht,roads_with_designation,0,0.0
04 April 2016,ht,raceway,4,2.43
04 April 2016,ht,unclassified,9207,6098.05
04 April 2016,ht,tertiary,1630,1072.19
04 April 2016,ht,secondary,1309,1309.9
02 May 2016,ht,primary_link,21,0.7
02 May 2016,ht,living_street,253,43.67
02 May 2016,ht,service,7857,625.27
02 May 2016,ht,one_way,0,0.0
02 May 2016,ht,track,20055,5574.39
02 May 2016,ht,residential,18899,2853.0
02 May 2016,ht,primary,983,1128.67
02 May 2016,ht,turn_restrict,0,0.0
02 May 2016,ht,roads_with_names,13026,3735.85
02 May 2016,ht,motorway,7,2.5
02 May 2016,ht,roads_with_second_lang,0,0.0
02 May 2016,ht,road,1321,349.52
02 May 2016,ht,secondary_link,73,0.89
02 May 2016,ht,path,14857,2373.38
02 May 2016,ht,roads_with_designation,0,0.0
02 May 2016,ht,raceway,3,1.88
02 May 2016,ht,unclassified,9204,6094.55
02 May 2016,ht,tertiary,1620,1076.21
02 May 2016,ht,secondary,1313,1318.77
28 March 2016,ht,primary_link,23,0.73
28 March 2016,ht,living_street,253,43.67
28 March 2016,ht,service,7854,624.84
28 March 2016,ht,one_way,0,0.0
28 March 2016,ht,track,19989,5558.63
28 March 2016,ht,residential,18831,2840.41
28 March 2016,ht,primary,978,1130.42
28 March 2016,ht,turn_restrict,0,0.0
28 March 2016,ht,roads_with_names,12952,3722.87
28 March 2016,ht,motorway,7,2.5
28 March 2016,ht,roads_with_second_lang,0,0.0
28 March 2016,ht,road,1378,365.19
28 March 2016,ht,secondary_link,74,0.89
28 March 2016,ht,path,14844,2371.33
28 March 2016,ht,roads_with_designation,0,0.0
28 March 2016,ht,raceway,4,2.43
28 March 2016,ht,unclassified,9199,6093.08
28 March 2016,ht,tertiary,1630,1072.19
28 March 2016,ht,secondary,1308,1309.9
16 May 2016,ht,primary_link,25,1.06
16 May 2016,ht,living_street,256,44.23
16 May 2016,ht,service,7866,626.91
16 May 2016,ht,one_way,0,0.0
16 May 2016,ht,track,20067,5579.13
16 May 2016,ht,residential,18934,2860.43
16 May 2016,ht,primary,983,1128.68
16 May 2016,ht,turn_restrict,0,0.0
16 May 2016,ht,roads_with_names,13054,3736.18
16 May 2016,ht,motorway,7,2.5
16 May 2016,ht,roads_with_second_lang,0,0.0
16 May 2016,ht,road,1320,349.33
16 May 2016,ht,secondary_link,73,0.89
16 May 2016,ht,path,14856,2372.82
16 May 2016,ht,roads_with_designation,0,0.0
16 May 2016,ht,raceway,3,1.88
16 May 2016,ht,unclassified,9273,6196.43
16 May 2016,ht,tertiary,1552,995.03
16 May 2016,ht,secondary,1289,1285.72
09 May 2016,ht,primary_link,21,0.7
09 May 2016,ht,living_street,254,43.91
09 May 2016,ht,service,7865,626.58
09 May 2016,ht,one_way,0,0.0
09 May 2016,ht,track,20060,5575.08
09 May 2016,ht,residential,18907,2851.39
09 May 2016,ht,primary,983,1128.68
09 May 2016,ht,turn_restrict,0,0.0
09 May 2016,ht,roads_with_names,13043,3735.68
09 May 2016,ht,motorway,7,2.5
09 May 2016,ht,roads_with_second_lang,0,0.0
09 May 2016,ht,road,1320,349.33
09 May 2016,ht,secondary_link,73,0.89
09 May 2016,ht,path,14857,2373.34
09 May 2016,ht,roads_with_designation,0,0.0
09 May 2016,ht,raceway,3,1.88
09 May 2016,ht,unclassified,9216,6102.15
09 May 2016,ht,tertiary,1617,1069.14
09 May 2016,ht,secondary,1313,1318.84
11 April 2016,ht,primary_link,21,0.7
11 April 2016,ht,living_street,253,43.67
11 April 2016,ht,service,7854,624.97
11 April 2016,ht,one_way,0,0.0
11 April 2016,ht,track,19995,5560.99
11 April 2016,ht,residential,18866,2847.09
11 April 2016,ht,primary,976,1128.54
11 April 2016,ht,turn_restrict,0,0.0
11 April 2016,ht,roads_with_names,13008,3730.26
11 April 2016,ht,motorway,7,2.5
11 April 2016,ht,roads_with_second_lang,0,0.0
